density,nelements,avg_electronegativity,avg_atomic_mass,vol_per_site,band_gap,avg_ve,range_ve,avg_group,std_group,avg_period,max_en,min_en,range_en,avg_rad,range_rad,n_unique,total_ve,density_ve_ratio
5.22063413174582,3,2.07,62.3319408571428,19.82606332454739,0.5388,3.7857142857142856,4.0,13.785714285714286,1.5202711895566259,3.7857142857142856,2.19,1.93,0.26,121.57142857142857,34.0,3.0,53.0,1.3435455486110566
3.85441151097959,2,2.13428571428571,47.4511415714285,20.442673053894787,0.830599999999999,4.142857142857143,4.0,14.142857142857142,1.6413036132965801,3.4285714285714284,2.19,1.93,0.26,117.28571428571429,34.0,2.0,58.0,0.908447157469937
6.37683692551344,3,2.7175,52.32199525,13.624735612646813,0.420999999999999,4.0,5.0,14.0,2.345207879911715,3.25,3.44,1.93,1.51,104.25,71.0,3.0,32.0,1.5553260793935222
4.66424342107739,3,2.2875,60.35479525,21.48719230998425,0.9914,4.0,5.0,14.0,2.345207879911715,3.75,2.58,1.93,0.6500000000000001,118.75,42.0,3.0,32.0,1.1376203466042416
4.119700930201,3,3.53258064516129,40.8582669935483,16.46885288176726,0.012499999999999,6.161290322580645,6.0,16.161290322580644,1.8156448102542306,2.6774193548387095,3.98,1.93,2.05,86.96774193548387,73.0,3.0,191.0,0.6579635694808398
5.8027408865227,3,2.22571428571428,77.3656571428571,22.139312888720145,1.5142,3.7142857142857144,5.0,13.714285714285714,2.3733211036908783,4.142857142857143,2.58,1.93,0.6500000000000001,125.42857142857143,42.0,3.0,26.0,1.5213178354179362
5.34044530776243,4,2.06285714285714,68.9133694285714,21.427677976727676,0.215499999999999,3.125,4.0,13.125,1.6909686573085854,4.375,2.19,1.93,0.26,131.75,34.0,4.0,25.0,1.6559520334147069
4.97216221421733,3,2.09818181818181,59.920994,20.01164627372609,0.5034,3.8181818181818183,4.0,13.818181818181818,1.7486712783337588,3.727272727272727,2.19,1.93,0.26,122.0,34.0,3.0,42.0,1.2689973168536108
9.00291520023691,3,2.08833333333333,129.295194833333,23.84780011465158,0.1725,2.6666666666666665,5.0,12.666666666666666,2.3570226039551585,5.166666666666667,2.54,1.93,0.6100000000000001,143.66666666666666,1.0,3.0,16.0,3.254065735025389
6.10800835172548,5,2.405,96.7722375,26.308752653497624,1.59939999999999,4.0,6.0,14.0,2.5495097567963922,4.3125,3.16,1.93,1.2300000000000002,124.9375,52.0,5.0,64.0,1.4897581345671904
4.92314714908039,4,2.9892,44.648928,15.0597345520455,1.7787,5.2,5.0,14.4,3.0724582991474434,2.96,3.44,1.93,1.51,94.92,71.0,4.0,130.0,0.928895688505734
6.26663551497766,4,2.633,65.3348632,17.31249447893785,0.9546,4.0,6.0,14.0,2.4899799195977463,3.6,3.44,1.93,1.51,111.1,71.0,4.0,40.0,1.528447686579917
7.7579878942185,3,2.702,63.90698,13.678809295063326,0.004199999999999,4.0,5.0,14.0,2.449489742783178,3.5,3.44,1.93,1.51,108.4,71.0,3.0,40.0,1.8921921693215855
6.02316394103538,4,2.616,65.51354,18.06156923939895,0.6883,4.0,5.0,14.0,2.449489742783178,3.6,3.44,1.93,1.51,111.3,71.0,4.0,40.0,1.4690643758622879
8.20077131927059,3,2.543,81.2319,16.44829957484315,1.5002,3.4,5.0,13.4,2.4166091947189146,3.9,3.44,1.93,1.51,116.8,83.0,3.0,34.0,2.343077519791597
5.80915551148551,4,2.31681818181818,80.3070952727272,22.955672087255046,0.9788,4.0,6.0,14.0,2.2763607319179844,4.0,3.16,1.93,1.2300000000000002,122.68181818181819,52.0,4.0,88.0,1.4168671979232952
4.79262694807972,4,2.37333333333333,64.1233968333333,22.21733647921583,1.2689,3.2222222222222223,6.0,13.222222222222221,2.528845928164676,4.111111111111111,3.16,1.93,1.2300000000000002,125.88888888888889,45.0,4.0,29.0,1.4425967402246647
6.59295935333068,4,2.5590909090909,64.842942,16.33170062392118,0.307599999999999,3.6363636363636362,5.0,13.636363636363637,2.4223477444498593,3.6363636363636362,3.44,1.93,1.51,112.63636363636364,71.0,4.0,40.0,1.764538999674878
7.36996065141199,3,2.12625,103.749249999999,23.37592979176125,0.198499999999999,3.0,6.0,13.0,2.598076211353316,4.75,3.16,1.93,1.2300000000000002,138.125,45.0,3.0,24.0,2.377406661745803
5.75976956927618,5,2.89894736842105,54.9228005052631,15.834219544572578,1.5871,4.631578947368421,6.0,13.578947368421053,3.5735253045827275,3.3157894736842106,3.98,1.93,2.05,103.42105263157895,73.0,5.0,88.0,1.2173039134176578
6.58846310189685,3,2.21428571428571,89.9865115714285,22.6799658160625,0.7841,3.4285714285714284,5.0,13.428571428571429,2.4411439272335804,4.428571428571429,2.55,1.93,0.6199999999999999,130.0,34.0,3.0,48.0,1.867175777865504
6.20444391897651,3,2.19533333333333,75.1983733333333,20.125870794456333,0.6102,3.2,5.0,13.2,2.4000000000000004,4.133333333333334,2.58,1.93,0.6500000000000001,125.73333333333333,42.0,3.0,48.0,1.8801345209019726
6.2327726809598,3,2.192,78.2697066666666,20.852662579586834,0.535099999999999,3.2,5.0,13.2,2.4000000000000004,4.2,2.58,1.93,0.6500000000000001,126.93333333333334,42.0,3.0,48.0,1.8887189942302423
6.91982956098878,3,2.17999999999999,97.0277066666666,23.28356443501517,0.000999999999999,3.2,5.0,13.2,2.4000000000000004,4.6,2.55,1.93,0.6199999999999999,132.93333333333334,27.0,3.0,48.0,2.0969180487844787
3.13209746730969,4,3.23784810126582,30.182088070886,16.001588991519238,0.026499999999999,3.68,6.0,13.68,2.05367962447895,3.64,3.98,1.93,2.05,119.2,73.0,4.0,92.0,0.828597213573992
2.24814958771732,4,2.88625,33.7425091333333,24.92305446538292,2.765,5.769230769230769,6.0,15.76923076923077,1.4756404687116058,3.0,3.98,1.93,2.05,99.38461538461539,73.0,4.0,75.0,0.3830399035429248
4.29190345151137,4,3.24,48.5145653818181,18.770303671966317,1.6736,5.2,6.0,15.2,2.2271057451320084,3.4,3.98,1.93,2.05,104.4,73.0,4.0,26.0,0.809793104058749
4.25486369499096,4,2.922,31.9095653333333,12.453296658269933,0.8362,4.8,5.0,13.466666666666667,5.0446891766380295,2.466666666666667,3.44,1.93,1.51,82.13333333333334,107.0,4.0,72.0,0.8683395295899919
